［取引先コード］,［取引先名］,［自社管理商品コード］,材料名,仕入量(g),仕入価格(\),［商品名］,［数量］,［単位］,単価,［金額］
1001,池伝株式会社,A0910133,ロッシュショコラ,1500,2900,ＮＫ　ロッシュ　ショコラ　１．５ｋｇ,49,袋,2900,142100
1001,池伝株式会社,A0910141,ピスタチオパウダー,12000,5400,ＤＩ　ピスタチオパウダー　１㎏,24,kg,5400,129600
1001,池伝株式会社,A0910189,マロングラッセ,1000,2400,京屋　マロングラッセ　１ｋｇ　コンステラシオン　専用,56,kg,2400,134400
1001,池伝株式会社,A0910244,アールグレイPWD,1000,4950,ナリヅカ　紅茶パウダー　アールグレイ　１ｋｇ（取寄せ）,8,袋,4950,39600
1001,池伝株式会社,A0910288,抹茶PWD1㎏,1000,12400,南山園　グリーン抹茶パウダー　１㎏,2,袋,12400,24800
1001,池伝株式会社,A0910329,黄桃,440,410,ゴールドリーフ　黄桃　南ア産　２号缶,-10,缶,410,-4100
1001,池伝株式会社,A0910332,マロンクリーム,1000,1150,サバトン　マロンクリーム　1kg（2号缶）,1,缶,1150,1150
1001,池伝株式会社,A0910355,ゴルゴンゾーラ,1000,4650,冷凍　ゴルゴンゾーラ・ピッカンテ　ＩＱＦ　１ｋｇ,30,袋,4650,139500
1001,池伝株式会社,A0910358,グレインマスタード,1000,490,ナイキフーズ　グレイン　　マスタード　MK様用,8,袋,490,3920
1001,池伝株式会社,A0910402,コーンスターチ,5000,1650,ＤＩ　コーンスターチ　５ｋｇ,1,C/S,1650,1650
1001,池伝株式会社,A0910486,皮付アーモンド刻み,2000,3950,ＤＩ　皮付 アーモンド キザミ ２ｍｍ　2kg,1,袋,3950,3950
1001,池伝株式会社,A0910488,アーモンドPWD,2000,3300,ＤＩ　アーモンドパウダー　２㎏,74,袋,3300,244200
1001,池伝株式会社,A0910554,ドライ白いちじく,10000,20300,デルタ　ドライ白いちじく　ダイス　国内選別　ＭＫ様　１０ｋｇ,14,C/S,20300,284200
1001,池伝株式会社,A0910594,サフBBJ,5000,9050,サフ　ＢＢＪ　５㎏　ＭＫ様,10,袋,9050,90500
1001,池伝株式会社,A0910606,グリーンオリーブ,340,310,TPグリーンオリーブ　340ｇ,312,本,310,96720
1001,池伝株式会社,A0910619,USクルミ（LMP),13600,18632,ＵＳクルミナゲット（ＬＭＰ）ＭＫ　１３．６ｋｇ,9,C/S,18632,167688
1001,池伝株式会社,A0910625,アンジュクレール,1800,1670,森永商事　アンジュ クレール　1.8kg,18,袋,1670,30060
1001,池伝株式会社,A0910644,抹茶PWD0.5㎏,500,6200,南山園　グリーン抹茶パウダー　５００ｇ,10,袋,6200,62000
1001,池伝株式会社,A0910645,パールシュガー,1000,1010,ナリヅカ　パールシュガー　Ｃ３０　　１㎏,12,袋,1010,12120
1001,池伝株式会社,A0910699,Gシナモンスティック,100,1750,ギャバン　シナモンスティック シール無し セイロン　100g,1,袋,1750,1750
